,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[139.21935243646817, 36.07358510676466], [139.25884199481322, 35.918476074555365], [139.54743625116697, 35.96618270927734], [139.508185277861, 36.12225496082233], [139.21935243646817, 36.07358510676466]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012926_84_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012926_84_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012926_84_106a/thumb,20191026_012926_84_106a,2019-10-26T01:29:26.844188Z,0.0,97,97,0.03,0,9790,32654,True,4.0,0,PS2.SD,PSScene4Band,3,339654,3998541,3,planetscope,2019-11-07T02:21:12Z,finalized,standard,7412,106a,0,0,2782052,161.1,39.8,2019-11-07T02:21:12Z,5.0,68,100
1,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[139.11788482998662, 36.465239687330104], [139.15791601865533, 36.31016081934724], [139.44758354615325, 36.35796797331985], [139.4076451936321, 36.51388094030475], [139.11788482998662, 36.465239687330104]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012933_09_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012933_09_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012933_09_106a/thumb,20191026_012933_09_106a,2019-10-26T01:29:33.092652Z,0.0,82,67,0.12,8,9785,32654,True,4.0,8,PS2.SD,PSScene4Band,16,331362,4042128,3,planetscope,2019-11-07T02:17:14Z,finalized,standard,7401,106a,0,0,2782052,161.1,39.4,2019-11-07T02:17:14Z,5.0,64,84
2,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[139.25309216253933, 35.94201844502167], [139.29258110000436, 35.78694739352956], [139.58066877081046, 35.83465801339997], [139.5414639633833, 35.99072797690205], [139.25309216253933, 35.94201844502167]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012924_76_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012924_76_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012924_76_106a/thumb,20191026_012924_76_106a,2019-10-26T01:29:24.761716Z,0.0,99,100,0.02,0,9793,32654,True,4.0,0,PS2.SD,PSScene4Band,0,342432,3983904,3,planetscope,2019-11-07T02:15:30Z,finalized,standard,7414,106a,0,0,2782052,161.1,40.0,2019-11-07T02:15:30Z,5.0,64,100
3,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[139.18727443192222, 36.20500779232633], [139.22682476177897, 36.049860458570095], [139.5158744972607, 36.097586297944865], [139.47652795576224, 36.253676375760726], [139.18727443192222, 36.20500779232633]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012928_92_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012928_92_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012928_92_106a/thumb,20191026_012928_92_106a,2019-10-26T01:29:28.927184Z,0.0,96,100,0.08,0,9788,32654,True,4.0,0,PS2.SD,PSScene4Band,0,337038,4013163,3,planetscope,2019-11-07T01:57:43Z,finalized,standard,7410,106a,0,0,2782052,161.1,39.7,2019-11-07T01:57:43Z,5.0,63,100
4,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[139.28786740174849, 35.81052794169279], [139.32725518764613, 35.655400541791586], [139.61477107833036, 35.703042831518424], [139.5757833610667, 35.85912319303521], [139.28786740174849, 35.81052794169279]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012922_67_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012922_67_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012922_67_106a/thumb,20191026_012922_67_106a,2019-10-26T01:29:22.679244Z,0.0,98,100,0.03,0,9791,32654,True,4.0,0,PS2.SD,PSScene4Band,0,345312,3969261,3,planetscope,2019-11-07T01:50:54Z,finalized,standard,7415,106a,0,0,2782052,161.1,40.1,2019-11-07T01:50:54Z,5.0,77,100
5,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[139.15293674293463, 36.33534326246027], [139.19260759099754, 36.18018300886023], [139.48207487712182, 36.2278888530731], [139.44246585613539, 36.38394386844108], [139.15293674293463, 36.33534326246027]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012931_00_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012931_00_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012931_00_106a/thumb,20191026_012931_00_106a,2019-10-26T01:29:31.009656Z,0.0,86,84,0.13,0,9786,32654,True,4.0,2,PS2.SD,PSScene4Band,14,334227,4027662,3,planetscope,2019-11-07T01:46:17Z,finalized,standard,7405,106a,0,0,2782052,161.1,39.6,2019-11-07T01:46:17Z,5.0,63,98
6,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[140.01560303778655, 35.995450107557225], [140.05524678693305, 35.83975860626087], [140.34425406015873, 35.88760176768073], [140.30504415505527, 36.044133952019585], [140.01560303778655, 35.995450107557225]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012611_53_1065,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012611_53_1065/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012611_53_1065/thumb,20191030_012611_53_1065,2019-10-30T01:26:11.539091Z,0.0,93,90,0.02,10,9849,32654,True,4.0,0,PS2.SD,PSScene4Band,0,411270,3989067,3,planetscope,2019-11-06T23:45:22Z,finalized,test,7494,1065,0,0,2794208,161.6,38.6,2019-11-06T23:45:22Z,5.0,72,90
7,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[139.9477487332253, 36.2558716009985], [139.98742814772626, 36.10025606696469], [140.27741134132208, 36.148119777914616], [140.237883338911, 36.30456236143317], [139.9477487332253, 36.2558716009985]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012615_70_1065,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012615_70_1065/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012615_70_1065/thumb,20191030_012615_70_1065,2019-10-30T01:26:15.702986Z,0.0,89,60,0.29,40,9843,32654,True,4.0,0,PS2.SD,PSScene4Band,0,405468,4018002,3,planetscope,2019-11-06T23:44:05Z,finalized,test,7487,1065,0,0,2794208,161.6,38.4,2019-11-06T23:44:05Z,5.0,72,60
8,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[140.0491931518623, 35.86574403666712], [140.08863278365263, 35.710049332863825], [140.37714191510182, 35.75771316501679], [140.33823881193675, 35.91425918609945], [140.0491931518623, 35.86574403666712]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012609_45_1065,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012609_45_1065/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012609_45_1065/thumb,20191030_012609_45_1065,2019-10-30T01:26:09.457143Z,0.0,78,33,0.2,67,9845,32654,True,4.0,0,PS2.SD,PSScene4Band,0,414159,3974643,3,planetscope,2019-11-06T23:42:10Z,finalized,test,7491,1065,0,0,2794208,161.6,38.7,2019-11-06T23:42:10Z,5.0,69,33
9,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[140.75854588442348, 37.7036890511505], [140.79935482145927, 37.54869044550476], [141.09428185271523, 37.59680567273522], [141.0539263667881, 37.75284087577041], [140.75854588442348, 37.7036890511505]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012205_57_1065,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012205_57_1065/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012205_57_1065/thumb,20191026_012205_57_1065,2019-10-26T01:22:05.574944Z,0.0,98,98,0.02,1,9870,32654,True,4.0,0,PS2.SD,PSScene4Band,0,478713,4178397,3,planetscope,2019-11-06T23:42:03Z,finalized,standard,7545,1065,1,0,2782137,161.2,38.2,2019-11-06T23:42:03Z,5.0,73,99
10,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[140.82752969028527, 37.44171734791692], [140.86803162402498, 37.28673408062001], [141.16197105853087, 37.33462174015226], [141.1218998587116, 37.49068218692114], [140.82752969028527, 37.44171734791692]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012201_39_1065,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012201_39_1065/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191026_012201_39_1065/thumb,20191026_012201_39_1065,2019-10-26T01:22:01.391126Z,0.0,97,97,0.02,1,9869,32654,True,4.0,0,PS2.SD,PSScene4Band,0,484743,4149315,3,planetscope,2019-11-06T23:41:59Z,finalized,standard,7542,1065,1,1,2782137,161.2,38.5,2019-11-06T23:41:59Z,5.0,74,99
11,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[139.8120675229546, 36.780774895104074], [139.8523654394208, 36.62521107206699], [140.1442651232915, 36.67307570943491], [140.10464864294408, 36.82954066834064], [139.8120675229546, 36.780774895104074]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012624_03_1065,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012624_03_1065/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012624_03_1065/thumb,20191030_012624_03_1065,2019-10-30T01:26:24.030777Z,0.0,92,83,0.08,17,9847,32654,True,4.0,0,PS2.SD,PSScene4Band,0,393996,4076340,3,planetscope,2019-11-06T23:41:29Z,finalized,test,7477,1065,0,0,2794208,161.6,37.8,2019-11-06T23:41:29Z,5.0,90,83
12,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[139.7441488507204, 37.0407185535584], [139.78435854410856, 36.88538980517183], [140.07796858109748, 36.93337103153775], [140.03753669675405, 37.089716896318606], [139.7441488507204, 37.0407185535584]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012628_19_1065,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012628_19_1065/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012628_19_1065/thumb,20191030_012628_19_1065,2019-10-30T01:26:28.194672Z,0.0,85,52,0.29,47,9859,32654,True,4.0,0,PS2.SD,PSScene4Band,0,388314,4105260,3,planetscope,2019-11-06T23:32:25Z,finalized,test,7471,1065,1,0,2794208,161.6,37.6,2019-11-06T23:32:25Z,5.1,58,53
13,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[139.77754468932523, 36.910436337248676], [139.81855261513329, 36.7550681623951], [140.1111731419343, 36.803068102061445], [140.0711393924378, 36.95955616342343], [139.77754468932523, 36.910436337248676]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012626_11_1065,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012626_11_1065/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012626_11_1065/thumb,20191030_012626_11_1065,2019-10-30T01:26:26.112725Z,0.0,93,92,0.08,7,9872,32654,True,4.0,0,PS2.SD,PSScene4Band,0,391098,4090791,3,planetscope,2019-11-06T23:31:16Z,finalized,test,7480,1065,1,0,2794208,161.6,37.7,2019-11-06T23:31:16Z,5.0,71,93
14,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[140.08190379853968, 35.7351264058738], [140.12116265928935, 35.57942783924802], [140.40916274608355, 35.6269274540612], [140.37039314145613, 35.78344957096202], [140.08190379853968, 35.7351264058738]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012607_37_1065,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012607_37_1065/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012607_37_1065/thumb,20191030_012607_37_1065,2019-10-30T01:26:07.375196Z,0.0,95,90,0.03,10,9842,32654,True,4.0,0,PS2.SD,PSScene4Band,0,416976,3960114,3,planetscope,2019-11-06T23:28:03Z,finalized,test,7486,1065,0,0,2794208,161.6,38.9,2019-11-06T23:28:03Z,5.0,76,90
15,assets.analytic_sr:download,140.269,36.7389,"{'type': 'Polygon', 'coordinates': [[[139.269, 35.7389], [141.269, 35.7389], [141.269, 37.7389], [139.269, 37.7389], [139.269, 35.7389]]]}","[[[139.98170555125702, 36.125126544028795], [140.02148459730148, 35.96943644650978], [140.31092029116957, 36.01732549398645], [140.27164263633222, 36.17387532705555], [139.98170555125702, 36.125126544028795]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012613_62_1065,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012613_62_1065/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191030_012613_62_1065/thumb,20191030_012613_62_1065,2019-10-30T01:26:13.621039Z,0.0,97,100,0.03,0,9848,32654,True,4.0,0,PS2.SD,PSScene4Band,0,408366,4003482,3,planetscope,2019-11-06T23:26:09Z,finalized,test,7494,1065,0,0,2794208,161.6,38.5,2019-11-06T23:26:09Z,5.0,71,100
